Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Variant Image,Status
ff-atelier-runner,Atelier Runner,"<p>Designer-grade runner built with premium leather overlays, engineered mesh, and a sculpted outsole for all-day movement.</p><p>Refined for elevated streetwear fits and everyday wear.</p>",FlyFlow,Shoes > Athletic Shoes,Sneakers,"sneakers,new-arrivals,best-sellers,material-leather,style-runner,color-onyx,color-cloud",TRUE,Size,8,Color,Onyx,,,FF-ATR-ONYX-8,980,shopify,19,deny,manual,285,340,TRUE,TRUE,https://images.unsplash.com/photo-1511556820780-d912e42b4980?auto=format&fit=crop&w=1600&q=80,1,Atelier Runner Onyx,https://images.unsplash.com/photo-1511556820780-d912e42b4980?auto=format&fit=crop&w=1600&q=80,active
ff-atelier-runner,Atelier Runner,"<p>Designer-grade runner built with premium leather overlays, engineered mesh, and a sculpted outsole for all-day movement.</p><p>Refined for elevated streetwear fits and everyday wear.</p>",FlyFlow,Shoes > Athletic Shoes,Sneakers,"sneakers,new-arrivals,best-sellers,material-leather,style-runner,color-onyx,color-cloud",TRUE,Size,9,Color,Onyx,,,FF-ATR-ONYX-9,990,shopify,22,deny,manual,285,340,TRUE,TRUE,https://images.unsplash.com/photo-1511556820780-d912e42b4980?auto=format&fit=crop&w=1600&q=80,2,Atelier Runner Onyx profile,https://images.unsplash.com/photo-1511556820780-d912e42b4980?auto=format&fit=crop&w=1600&q=80,active
ff-atelier-runner,Atelier Runner,"<p>Designer-grade runner built with premium leather overlays, engineered mesh, and a sculpted outsole for all-day movement.</p><p>Refined for elevated streetwear fits and everyday wear.</p>",FlyFlow,Shoes > Athletic Shoes,Sneakers,"sneakers,new-arrivals,best-sellers,material-leather,style-runner,color-onyx,color-cloud",TRUE,Size,10,Color,Onyx,,,FF-ATR-ONYX-10,1000,shopify,18,deny,manual,285,340,TRUE,TRUE,https://images.unsplash.com/photo-1511556820780-d912e42b4980?auto=format&fit=crop&w=1600&q=80,3,Atelier Runner Onyx detail,https://images.unsplash.com/photo-1511556820780-d912e42b4980?auto=format&fit=crop&w=1600&q=80,active
ff-atelier-runner,Atelier Runner,"<p>Designer-grade runner built with premium leather overlays, engineered mesh, and a sculpted outsole for all-day movement.</p><p>Refined for elevated streetwear fits and everyday wear.</p>",FlyFlow,Shoes > Athletic Shoes,Sneakers,"sneakers,new-arrivals,best-sellers,material-leather,style-runner,color-onyx,color-cloud",TRUE,Size,11,Color,Onyx,,,FF-ATR-ONYX-11,1010,shopify,14,deny,manual,285,340,TRUE,TRUE,https://images.unsplash.com/photo-1511556820780-d912e42b4980?auto=format&fit=crop&w=1600&q=80,4,Atelier Runner Onyx side,https://images.unsplash.com/photo-1511556820780-d912e42b4980?auto=format&fit=crop&w=1600&q=80,active
ff-atelier-runner,Atelier Runner,"<p>Designer-grade runner built with premium leather overlays, engineered mesh, and a sculpted outsole for all-day movement.</p><p>Refined for elevated streetwear fits and everyday wear.</p>",FlyFlow,Shoes > Athletic Shoes,Sneakers,"sneakers,new-arrivals,best-sellers,material-leather,style-runner,color-onyx,color-cloud",TRUE,Size,8,Color,Cloud,,,FF-ATR-CLD-8,980,shopify,13,deny,manual,285,340,TRUE,TRUE,https://images.unsplash.com/photo-1491553895911-0055eca6402d?auto=format&fit=crop&w=1600&q=80,5,Atelier Runner Cloud,https://images.unsplash.com/photo-1491553895911-0055eca6402d?auto=format&fit=crop&w=1600&q=80,active
ff-atelier-runner,Atelier Runner,"<p>Designer-grade runner built with premium leather overlays, engineered mesh, and a sculpted outsole for all-day movement.</p><p>Refined for elevated streetwear fits and everyday wear.</p>",FlyFlow,Shoes > Athletic Shoes,Sneakers,"sneakers,new-arrivals,best-sellers,material-leather,style-runner,color-onyx,color-cloud",TRUE,Size,9,Color,Cloud,,,FF-ATR-CLD-9,990,shopify,17,deny,manual,285,340,TRUE,TRUE,https://images.unsplash.com/photo-1491553895911-0055eca6402d?auto=format&fit=crop&w=1600&q=80,6,Atelier Runner Cloud profile,https://images.unsplash.com/photo-1491553895911-0055eca6402d?auto=format&fit=crop&w=1600&q=80,active
ff-atelier-runner,Atelier Runner,"<p>Designer-grade runner built with premium leather overlays, engineered mesh, and a sculpted outsole for all-day movement.</p><p>Refined for elevated streetwear fits and everyday wear.</p>",FlyFlow,Shoes > Athletic Shoes,Sneakers,"sneakers,new-arrivals,best-sellers,material-leather,style-runner,color-onyx,color-cloud",TRUE,Size,10,Color,Cloud,,,FF-ATR-CLD-10,1000,shopify,15,deny,manual,285,340,TRUE,TRUE,https://images.unsplash.com/photo-1491553895911-0055eca6402d?auto=format&fit=crop&w=1600&q=80,7,Atelier Runner Cloud detail,https://images.unsplash.com/photo-1491553895911-0055eca6402d?auto=format&fit=crop&w=1600&q=80,active
ff-atelier-runner,Atelier Runner,"<p>Designer-grade runner built with premium leather overlays, engineered mesh, and a sculpted outsole for all-day movement.</p><p>Refined for elevated streetwear fits and everyday wear.</p>",FlyFlow,Shoes > Athletic Shoes,Sneakers,"sneakers,new-arrivals,best-sellers,material-leather,style-runner,color-onyx,color-cloud",TRUE,Size,11,Color,Cloud,,,FF-ATR-CLD-11,1010,shopify,10,deny,manual,285,340,TRUE,TRUE,https://images.unsplash.com/photo-1491553895911-0055eca6402d?auto=format&fit=crop&w=1600&q=80,8,Atelier Runner Cloud side,https://images.unsplash.com/photo-1491553895911-0055eca6402d?auto=format&fit=crop&w=1600&q=80,active
ff-arc-heavyweight-hoodie,Arc Heavyweight Hoodie,"<p>520gsm heavyweight fleece hoodie with a boxy luxury silhouette, dropped shoulders, and tonal embroidery.</p><p>Built for layering with premium hand feel and clean finishings.</p>",FlyFlow,Apparel & Accessories > Clothing,Hoodies,"apparel,new-arrivals,best-sellers,material-cotton,style-oversized,color-onyx,color-bone",TRUE,Size,S,Color,Onyx,,,FF-AHH-ONYX-S,780,shopify,25,deny,manual,165,210,TRUE,TRUE,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=1600&q=80,1,Arc Heavyweight Hoodie Onyx,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=1600&q=80,active
ff-arc-heavyweight-hoodie,Arc Heavyweight Hoodie,"<p>520gsm heavyweight fleece hoodie with a boxy luxury silhouette, dropped shoulders, and tonal embroidery.</p><p>Built for layering with premium hand feel and clean finishings.</p>",FlyFlow,Apparel & Accessories > Clothing,Hoodies,"apparel,new-arrivals,best-sellers,material-cotton,style-oversized,color-onyx,color-bone",TRUE,Size,M,Color,Onyx,,,FF-AHH-ONYX-M,800,shopify,27,deny,manual,165,210,TRUE,TRUE,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=1600&q=80,2,Arc Heavyweight Hoodie Onyx front,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=1600&q=80,active
